1,10,11,12,13,26,28,11
2,4,9,19,20,21,26,12
3,1,7,10,23,28,32,16
4,4,6,7,10,13,25,3
5,4,6,15,17,30,31,16
6,1,3,10,21,26,27,6
7,1,9,19,21,23,26,7
8,5,8,9,14,17,23,8
9,5,9,18,20,22,30,9
10,1,2,8,13,17,24,13
11,4,5,11,12,30,32,15
12,2,12,16,17,27,30,12
13,8,13,17,21,23,32,12
14,3,5,7,8,21,31,2
15,4,11,19,25,26,32,13
16,11,17,28,30,31,33,6
17,5,8,18,23,25,31,6
18,5,16,19,20,25,28,13
19,4,8,12,13,16,33,9
20,7,10,25,26,27,32,4
21,14,15,18,25,26,30,1
22,2,7,11,12,14,32,8
23,1,10,20,22,26,31,2
24,2,7,15,17,22,30,14
25,1,5,11,13,14,27,12
26,8,13,15,26,29,31,16
27,1,11,14,17,27,28,15
28,6,13,16,20,28,32,7
29,2,7,15,26,29,32,10
30,2,6,13,14,23,27,7
31,11,17,20,22,28,32,1
32,4,11,25,27,29,30,13
33,1,7,14,20,27,30,10
34,8,13,14,16,23,25,14
35,3,4,5,8,10,11,8
36,7,21,24,25,27,28,15
37,9,14,17,18,26,32,7
38,5,7,8,24,25,27,16
39,3,5,23,24,27,32,3
40,4,5,6,12,14,23,16
41,2,3,17,18,24,25,11
42,3,5,7,10,15,20,7
43,2,8,10,19,20,32,13
44,2,5,9,16,32,33,15
45,3,7,14,15,17,32,3
46,7,8,10,11,17,26,11
47,3,17,26,28,32,33,16
48,10,12,20,28,30,31,9
49,3,6,7,13,24,25,15
50,2,8,17,23,24,26,13
51,4,13,15,17,24,27,1
52,1,12,13,23,30,31,11
53,15,19,20,21,28,29,13
54,2,5,9,21,31,33,12
55,6,13,16,21,28,31,16
56,8,17,21,26,28,29,7
57,18,19,24,25,30,31,16
58,9,11,16,28,32,33,2
59,2,3,5,6,18,30,4
60,2,4,6,17,21,28,11
61,3,5,20,21,28,32,2
62,1,6,12,19,20,32,14
63,5,8,9,14,21,33,11
64,4,6,8,12,15,30,1
65,6,15,16,17,30,33,11
66,3,7,8,20,24,32,14
67,5,11,12,13,27,31,10
68,9,19,25,27,32,33,11
69,7,11,16,19,26,28,11
70,1,2,4,17,18,19,8
71,9,11,12,14,15,33,11
72,3,6,8,11,19,27,11
73,2,12,14,21,23,30,13
74,2,12,19,22,27,32,1
75,16,17,19,22,31,33,11
76,1,13,16,18,20,29,2
77,4,12,16,22,24,25,6
78,7,12,23,26,29,30,11
79,12,15,22,23,26,31,4
80,9,20,24,25,28,30,10
81,1,2,14,26,29,30,7
82,7,17,18,19,30,31,14
83,1,3,14,18,26,28,1
84,2,6,7,10,17,33,3
85,1,4,11,12,19,27,14
86,5,12,16,18,26,30,13
87,2,3,4,5,24,28,13
88,3,10,21,22,24,33,12
89,18,19,21,26,27,33,16
